report,category,severity
Bulk carrier's pilot ladder did not conform to SOLAS regulations. The ladder did not feel of the usual quality. Steps were very narrow which made holding the rope very difficult. Rope had lots of stretch in it. The ladder looked new but I have my suspicions of it being correctly certified.,Damage / Loss Of Equipment,Critical
"Bulk carrier's tripping line was fitted to the bottom of the ladder, or was rigged not in accordance with IMO Resolution A.1045(27) 2.1.5. Tripping line rigged to the 2nd lowest step and leading aft.",Damage / Loss Of Equipment,Critical
"A sail training vessel was under sail when the skipper noticed there was an issue with the gear/propeller. There was no tow available into a local harbour and the vessel attempted to anchor under sail, as the engine was not available due to the issue. Whilst attempting to anchor, the vessel grounded. The tide was rising, so the vessel's crew waited and deployed the anchor. The skipper was able to free the propeller and the vessel refloated on the rising tide. The vessel made its way into the harbour under engine power without assistance. There were no injuries, pollution or damages. ",Grounding / Stranding,Low
"Bulk carrier's pilot ladder did not conform to SOLAS regulations because it was reported to be defective according to pilot boat crew members, then deciding to switch for one on the starboard side of vessel.",Damage / Loss Of Equipment,Critical
A fishing vessel grounded whilst trying to clear the propellor which was reportedly fouled by a rope. The vessel sustained damage to the hull which resulted in water ingress to the engine room. ,Grounding / Stranding,Medium
A commercial rib fouled its impeller (the vessel was jet driven). There was no imminent danger but all passengers were taken off the vessel and onto a search and rescue (SAR) vessel. The crew remained onboard and the rib was towed to a harbour. Later inspections revealed that the issue was something that could be fixed at sea and the crew of the sightseeing vessel used this as a learning opportunity.,Loss Of Control,Critical
"Alternator bearing failure on 12 volt alternator.  An inshore ro-pax vessel was alongside when the fire alarm for the engine room was activated and smoke was seen coming through the vents. The three crew on board initiated fire fighting attempts and called for shore assistance. The crew were able to extinguish the fire, which was on the aft main engine alternator, before shore fire fighting crews arrived. The fire crews advised to keep the engine room shut down to ensure that there was no risk of re-ignition. The source of the fire was reported to be from the aft engine alternator bearings failing. There were no injuries or pollution reported. ",Fire / Explosion,Medium
"A cruise ship crew member preparing food in a tilting pan. The crew member opened the cover to check the food, when they went to close the cover, they unlocked the handle, causing the cover to fall quickly onto the right index finger. The crew member reported to the medical centre for treatment. During the area inspection it was found that the tilting pan was defective, and a defect chit had been placed top of it, which due to oversight of the crew member they did not notice.",Accident to person(s),Low
A cruise ship crew member was in the galley area using a knife to peel melons when they accidentally cut their right middle finger. The crew member was treated and placed off duty. The area was inspected for defects with none found.,Accident to person(s),Low
Container ship fouled its prop on aft mooring line while casting off. A diver was needed to get the rope off. ,Loss Of Control,Critical
"The vessel grounded, re-floated, managed to self-recover and was escorted by a search and rescue (SAR) vessel safely into a port. No injuries were sustained to any crew members or damage to the vessel.",Grounding / Stranding,Low
"A hopper dredger was alongside and a visitor was boarding to carry out some work. They were climbing down a vertical ladder when, close to the bottom, they slipped and fell to the deck, landing on their bottom and wrist. They sustained a fractured wrist. The crew of the vessel were not near by at the time of the accident and the visitor didn't tell anyone right away what had happened, reportedly due to being embarrassed. However, later on the pain was enough for the visitor to seek medical attention and they were diagnosed with a fractured wrist. The harbour master and vessel management carried out investigations into the incident and suggested that all visitors should be supervised when boarding the vessel. ",Accident to person(s),Low
A ro-pax vessel passenger fell and injured their head and elbow. The passenger was not able to move around without assistance but they were conscious and 'reasonably' coherent. Coastguard and shore emergency services assisted in the extraction of the passenger. ,Accident to person(s),Low
"A bulk carrier's pilot ladder did not conform to SOLAS regulations. Loose inboard stanchion dislodged and caused loss of balance when transferring from pilot ladder, to bottom platform of accommodation ladder. Outboard stanchion equally loose.",Damage / Loss Of Equipment,Critical
Crew member on a yacht caught their middle finger in the capstan and the top is hanging off. The casualty managed to bandage it and return back to port for further medical assistance. ,Accident to person(s),Low
Container ship's pilot ladder not rigged per SOLAS regulations. The ladder was secured only with a locking bar (no securing ropes). The locking bar securing pin was not fitted meaning the bar could slide free under lateral movement.,Damage / Loss Of Equipment,Critical
During familiarization of an amphibious weedboat the weedboat capsized when trying to mount the river bank. The operative was able to escape from under the craft to the bank. The craft remained capsized in the river with pollution measures in place. ,Capsizing / Listing,Medium
Cargo vessel suffered an engine fire resulting in no injuries and/or major damages. The fire services extinguished the fire which has been identified as coming from a generator that controls the bow thruster. The vessel was able to berth itself without any assistance and has undertaken measures for repairs. ,Fire / Explosion,Critical
"A chemical/products tanker had a non-SOLAS-compliant pilot ladder due to a broken bottom step. The captain of the vessel was informed and the ladder was taken out of service. There were no injuries, additional damages or pollution. ",Damage / Loss Of Equipment,Critical
Cruise ship's passenger collapsed in the shower and was later found by a family member. As a result they suffered severe burns to the lower body and mid torso. ,Accident to person(s),Low
"A suction dredger was on an approach into a lock when a crew member on the forecastle reported that the starboard anchor had slipped. The decision made to continue into the lock and then recover the cable, however the cable was unable to be recovered due to a slow winch and the cable running astern. The vessel then decided to carry on into the dock basin but on departing the lock were unable to move ahead. On communication with the lock controller, the water was lowered in lock, the outer gate opened and the vessel then ran astern to recover the cable. Once all the cable was recovered, the anchor was secured and the vessel continued to it's berth.",Damage / Loss Of Equipment,Critical
Cruise ship pilot ladder rigging didn't conform to SOLAS,Damage / Loss Of Equipment,Critical
"Whilst the tanker was berthed alongside and discharging LNG, the weather changed from 15m/s westerly wind to a 20m/s north-westerly increasing the swell. This quickly led to the spring line parting and putting the remaining lines under tension. The master called for an emergency release and proceeded to anchorage.",Damage / Loss Of Equipment,Critical
"A sailing vessel was taking part in a regatta, three crew onboard. The vessel was sailing downwind to a race mark, bore away to gybe and broached taking on water. A hatch cover came off, the vessel started to fill with water and sink with the three crew ending up in the water. A safety vessel for the regatta recovered one crew member and then broke down, a harbour vessel recovered the other two crew. No injuries to crew and all were wearing flotation devices. ",Flooding / Foundering,High
A cargo vessel's pilot ladder was not rigged per current SOLAS regulations.  The ladder came directly from a reel with no preventer rigged. No Officer present. Lifebuoy and light located some 10m away from the ladder and could not be immediately located by the AB present.,Damage / Loss Of Equipment,Critical
"A general cargo vessel was arriving in port under pilotage when the bow thruster gave an alarm. The crew inspected the thruster and found that the oil was contaminated. The bow thruster on this vessel is driven by a diesel engine and the filter was reportedly fouled. The pilot called for a tug which assisted the vessel to berth in lieu of using the thruster. There were no injuries, damage or pollution. ",Damage / Loss Of Equipment,Critical
A product tanker had a non-SOLAS compliant pilot ladder that was unsafely rigged across two mooring lines that were running parallel to the ship. ,Damage / Loss Of Equipment,Critical
Cruise ships passenger lost balance resulting in a dislocated shoulder. Passenger lost balance and fell down landing on their right shoulder.,Accident to person(s),Low
